nohup: ignoring input
/root/LaneNet-Pytorch-teach/LaneNet-PyTorch-master/train.py:35: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  pretrained_weights = torch.load(pretrained_weights_path, map_location=device)
train_set length 12480
valid_set length 2673
test_set length 2673
Loaded pretrained weights.
epoch[88] iter[100] loss: [0.0338, 0.0500]
epoch[88] iter[120] loss: [0.0286, 0.0432]
epoch[88] iter[140] loss: [0.0306, 0.0461]
epoch[88] iter[160] loss: [0.0385, 0.0692]
epoch[88] iter[180] loss: [0.0335, 0.0505]
epoch[88] iter[200] loss: [0.0359, 0.0538]
epoch[88] iter[220] loss: [0.0327, 0.0473]
epoch[88] iter[240] loss: [0.0291, 0.0482]
epoch[88] iter[260] loss: [0.0300, 0.0453]
epoch[88] iter[280] loss: [0.0323, 0.0521]
epoch[88] iter[300] loss: [0.0390, 0.0552]
epoch[88] iter[320] loss: [0.0352, 0.0590]
epoch[88] iter[340] loss: [0.0335, 0.0427]
epoch[88] iter[360] loss: [0.0345, 0.0492]
epoch[88] iter[380] loss: [0.0340, 0.0547]
epoch[88] iter[400] loss: [0.0338, 0.0522]
epoch[88] iter[420] loss: [0.0374, 0.0533]
epoch[88] iter[440] loss: [0.0375, 0.0572]
epoch[88] iter[460] loss: [0.0331, 0.0505]
epoch[88] iter[480] loss: [0.0386, 0.0597]
epoch[88] iter[500] loss: [0.0355, 0.0720]
epoch[88] iter[520] loss: [0.0335, 0.0502]
epoch[88] iter[540] loss: [0.0444, 0.0719]
epoch[88] iter[560] loss: [0.0303, 0.0523]
epoch[88] iter[580] loss: [0.0321, 0.0537]
epoch[88] iter[600] loss: [0.0348, 0.0478]
epoch[88] iter[620] loss: [0.0409, 0.0995]
epoch[88] iter[640] loss: [0.0302, 0.0455]
epoch[88] iter[660] loss: [0.0372, 0.0511]
epoch[88] iter[680] loss: [0.0394, 0.0622]
epoch[88] iter[700] loss: [0.0323, 0.0521]
epoch[88] iter[720] loss: [0.0405, 0.0778]
epoch[88] iter[740] loss: [0.0276, 0.0431]
epoch[88] iter[760] loss: [0.0332, 0.0502]
epoch[88] iter[780] loss: [0.0365, 0.0549]
epoch[88] iter[800] loss: [0.0410, 0.0825]
epoch[88] iter[820] loss: [0.0362, 0.0526]
epoch[88] iter[840] loss: [0.0405, 0.0634]
epoch[88] iter[860] loss: [0.0334, 0.0504]
epoch[88] iter[880] loss: [0.0344, 0.0538]
epoch[88] iter[900] loss: [0.0323, 0.0445]
epoch[88] iter[920] loss: [0.0346, 0.0626]
epoch[88] iter[940] loss: [0.0347, 0.0637]
epoch[88] iter[960] loss: [0.0387, 0.0504]
epoch[88] iter[980] loss: [0.0322, 0.0599]
